count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	CM002885.2	41949393	41950342	41949320	41950382	+	7e-147	915	1062
2	CM002885.2	41982231	41981342	41982260	41981330	-	7.4e-44	805	930
3	CM002885.2	14372990	14373677	14372694	14373891	+	6.7e-31	639	1197
4	CM002885.2	14372990	14373677	14372715	14373891	+	6.7e-31	639	1176
5	CM002885.2	14372990	14373677	14372814	14373891	+	6.7e-31	639	1077
6	CM002885.2	14372990	14373677	14372889	14373891	+	6.7e-31	639	1002
7	CM002885.2	14372990	14373677	14372919	14373891	+	6.7e-31	639	972
8	CM002885.2	14372990	14373677	14373000	14373891	+	6.7e-31	639	891
9	CM002892.2	37700623	37701159	37700188	37701406	+	7.8e-37	421	1218
10	CM002892.2	37700623	37701159	37700287	37701406	+	7.8e-37	421	1119
11	CM002892.2	37700623	37701159	37700314	37701406	+	7.8e-37	421	1092
12	CM002892.2	31942635	31942948	31942048	31942948	+	1.1e-31	279	900
13	CM002892.2	5050504	5051319	5050389	5051427	+	6.3e-22	722	1038
14	CM002892.2	5050504	5051319	5050410	5051427	+	6.3e-22	722	1017
15	CM002892.2	5050504	5051319	5050431	5051427	+	6.3e-22	722	996
16	CM002892.2	5050504	5051319	5050500	5051427	+	6.3e-22	722	927
17	CM002893.2	54417800	54418572	54417523	54418864	+	3e-45	658	1341
18	CM002893.2	54417800	54418572	54417748	54418864	+	3e-45	658	1116
19	CM002893.2	54417800	54418572	54417829	54418864	+	3e-45	658	1035
20	CM002893.2	54417800	54418572	54417919	54418864	+	3e-45	658	945
21	CM002893.2	54417800	54418572	54417943	54418864	+	3e-45	658	921
22	CM002894.2	40722290	40723298	40722231	40723293	+	2.1e-81	1010	1062
23	CM002894.2	40722290	40723298	40722285	40723293	+	2.1e-81	1010	1008
24	CM002894.2	40722290	40723298	40722384	40723293	+	2.1e-81	1010	909
25	CM002894.2	40677509	40678517	40677451	40678522	+	1.4e-80	1008	1071
26	CM002894.2	40677509	40678517	40677505	40678522	+	1.4e-80	1008	1017
27	CM002894.2	40677509	40678517	40677604	40678522	+	1.4e-80	1008	918
28	CM002894.2	40629647	40630657	40629591	40630653	+	2.2e-76	1010	1062
29	CM002894.2	40629647	40630657	40629645	40630653	+	2.2e-76	1010	1008
30	CM002894.2	40629647	40630657	40629744	40630653	+	2.2e-76	1010	909
31	CM002894.2	40700474	40701476	40700415	40701465	+	4.7e-76	1000	1050
32	CM002894.2	40700474	40701476	40700469	40701465	+	4.7e-76	1000	996
33	CM002894.2	40700474	40701476	40700568	40701465	+	4.7e-76	1000	897
34	CM002894.2	40690442	40691445	40690386	40691436	+	6.6e-76	996	1050
35	CM002894.2	40690442	40691445	40690440	40691436	+	6.6e-76	996	996
36	CM002894.2	40690442	40691445	40690539	40691436	+	6.6e-76	996	897
37	CM002894.2	40634045	40635055	40633989	40635051	+	7.8e-76	1010	1062
38	CM002894.2	40634045	40635055	40634043	40635051	+	7.8e-76	1010	1008
39	CM002894.2	40634045	40635055	40634142	40635051	+	7.8e-76	1010	909
40	CM002894.2	40768261	40769268	40768202	40769264	+	6.5e-75	1010	1062
41	CM002894.2	40768261	40769268	40768256	40769264	+	6.5e-75	1010	1008
42	CM002894.2	40670878	40671889	40670822	40671884	+	2.6e-74	1009	1062
43	CM002894.2	40670878	40671889	40670876	40671884	+	2.6e-74	1009	1008
44	CM002894.2	40670878	40671889	40670975	40671884	+	2.6e-74	1009	909
45	CM002894.2	40706131	40707142	40706075	40707137	+	5.6e-73	1010	1062
46	CM002894.2	40706131	40707142	40706129	40707137	+	5.6e-73	1010	1008
47	CM002894.2	40706131	40707142	40706228	40707137	+	5.6e-73	1010	909
48	CM002894.2	40731888	40732897	40731833	40732895	+	1.4e-72	1010	1062
49	CM002894.2	40731888	40732897	40731887	40732895	+	1.4e-72	1010	1008
50	CM002894.2	40731888	40732897	40731986	40732895	+	1.4e-72	1010	909
51	CM002894.2	40781229	40782106	40781051	40782113	+	4.8e-71	868	1062
52	CM002894.2	40781229	40782106	40781105	40782113	+	4.8e-71	868	1008
53	CM002894.2	40360580	40359574	40360635	40359576	-	5.5e-71	1009	1059
54	CM002894.2	40360580	40359574	40360581	40359576	-	5.5e-71	1009	1005
55	CM002894.2	40726430	40727440	40726374	40727436	+	8.3e-71	1008	1062
56	CM002894.2	40726430	40727440	40726428	40727436	+	8.3e-71	1008	1008
