count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	JACJDE010000057.1	24744944	24743902	24744944	24743906	-	1.1e-246	1036	1038
2	JACJDE010000057.1	24744944	24743902	24744785	24743906	-	1.1e-246	1036	879
3	JACJDE010000057.1	24776989	24775943	24776989	24775942	-	2.4e-229	1036	1047
4	JACJDE010000057.1	24776989	24775943	24776830	24775942	-	2.4e-229	1036	888
5	JACJDE010000057.1	24762576	24761531	24762576	24761547	-	6.4e-225	1037	1029
6	JACJDE010000057.1	24762576	24761531	24762420	24761547	-	6.4e-225	1037	873
7	JACJDE010000057.1	24725588	24726600	24725574	24726588	+	1.6e-200	996	1014
8	JACJDE010000057.1	24725588	24726600	24725706	24726588	+	1.6e-200	996	882
9	JACJDE010000057.1	24669238	24670285	24669261	24670281	+	4.7e-183	1010	1020
10	JACJDE010000057.1	24669238	24670285	24669264	24670281	+	4.7e-183	1010	1017
11	JACJDE010000057.1	24669238	24670285	24669348	24670281	+	4.7e-183	1010	933
12	JACJDE010000057.1	24697118	24698122	24697201	24698122	+	5.6e-179	996	921
13	JACJDE010000057.1	24697118	24698122	24697213	24698122	+	5.6e-179	996	909
14	JACJDE010000057.1	24705991	24707020	24706141	24707017	+	1.2e-172	1007	876
15	JACJDE010001246.1	13499391	13498571	13499518	13498498	-	2.9e-55	723	1020
16	JACJDE010000969.1	2745989	2744958	2746057	2744956	-	1.6e-32	871	1101
17	JACJDE010000969.1	2745989	2744958	2746000	2744956	-	1.6e-32	871	1044
18	JACJDE010000969.1	2745989	2744958	2745952	2744956	-	1.6e-32	871	996
19	JACJDE010000969.1	2745989	2744958	2745829	2744956	-	1.6e-32	871	873
20	JACJDE010001061.1	205547	204709	205609	204715	-	2e-51	735	894
21	JACJDE010000588.1	4499603	4499862	4498984	4499872	+	2.6e-21	233	888
22	JACJDE010000215.1	2878072	2878911	2877791	2878910	+	1.2e-46	725	1119
23	JACJDE010000585.1	2280462	2281231	2280319	2281399	+	7.1e-76	766	1080
